target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
Flower_num,0510_r0p5_ND_B2_B3_mean,33,-0.6228619702661808,0.00010830716312270255,-0.6430561322373878,5.43679137145416e-05,0.6228619702661808,0.6430561322373878
Flower_num,0510_r1_B6_mean,33,-0.5871636414608891,0.0003280210548642094,-0.6413771345030865,5.7682642869039795e-05,0.5871636414608891,0.6413771345030865
Flower_rat,0510_r1_ND_B2_B3_mean,33,-0.6419658447604749,5.6500263703015625e-05,-0.7416132992408726,7.894312716313138e-07,0.6419658447604749,0.7416132992408726
Flower_rat,ratio_r1_EVI_mean,33,-0.6120189049722421,0.00015380334551882155,-0.7016531531645023,5.3780073420319016e-06,0.6120189049722421,0.7016531531645023
Flower_rat,rel_r1_EVI_mean,33,-0.6120189049722421,0.00015380334551882155,-0.7016531531645023,5.3780073420319016e-06,0.6120189049722421,0.7016531531645023
Flower_rat,diff_r1_EVI_mean,33,-0.609398153988831,0.00016708839684427266,-0.6993025563364804,5.962714573189143e-06,0.609398153988831,0.6993025563364804
Flower_rat,0510_r1_EVI_mean,33,-0.611212595329676,0.0001577863828599408,-0.6823446792200376,1.221011688610453e-05,0.611212595329676,0.6823446792200376
Flower_rat,0510_r1_ND_B3_B5_mean,33,0.5931243545921667,0.0002750810679012931,0.6726064923610902,1.8048353614398025e-05,0.5931243545921667,0.6726064923610902
Flower_rat,0510_r1_RENDVI2_mean,33,-0.5931243545921667,0.0002750810679012931,-0.6726064923610902,1.8048353614398025e-05,0.5931243545921667,0.6726064923610902
Flower_rat,0510_r1_RVI_mean,33,-0.6122069684676968,0.00015288736741568456,-0.6702558955330684,1.979126012911922e-05,0.6122069684676968,0.6702558955330684
Flower_rat,0510_r1_SAVI_mean,33,-0.5890497560563602,0.000310366409448423,-0.6702558955330684,1.979126012911922e-05,0.5890497560563602,0.6702558955330684
Flower_rat,0510_r1_ND_B3_B6_mean,33,0.5890449703032619,0.0003104101147703528,0.6702558955330684,1.979126012911922e-05,0.5890449703032619,0.6702558955330684
Flower_rat,0510_r1_NDVI_mean,33,-0.5890449703032619,0.0003104101147703528,-0.6702558955330684,1.979126012911922e-05,0.5890449703032619,0.6702558955330684
Flower_rat,0510_r1_ND_B3_B4_mean,33,0.6294992437749226,8.681517517629669e-05,0.6668979000644659,2.2545441898918057e-05,0.6294992437749226,0.6668979000644659
Flower_rat,0510_r1_RENDVI1_mean,33,-0.6294992437749226,8.681517517629669e-05,-0.6668979000644659,2.2545441898918057e-05,0.6294992437749226,0.6668979000644659
Flower_rat,rel_r0p5_DVI_mean,33,-0.6297637988891185,8.60440478127617e-05,-0.6630362052755729,2.61374235072207e-05,0.6297637988891185,0.6630362052755729
Flower_rat,ratio_r0p5_DVI_mean,33,-0.6297637988891184,8.60440478127617e-05,-0.6630362052755729,2.61374235072207e-05,0.6297637988891184,0.6630362052755729
Flower_rat,ratio_r1_DVI_mean,33,-0.6184246472106173,0.00012521810810365558,-0.6613572075412717,2.785431747663786e-05,0.6184246472106173,0.6613572075412717
Flower_rat,rel_r1_DVI_mean,33,-0.6184246472106173,0.00012521810810365558,-0.6613572075412717,2.785431747663786e-05,0.6184246472106173,0.6613572075412717
Flower_rat,rel_r1_RENDVI1_mean,33,-0.5980166557662575,0.0002374622995459062,-0.660349808900691,2.8932667809355504e-05,0.5980166557662575,0.660349808900691
Flower_rat,ratio_r1_RENDVI1_mean,33,-0.5980166557662574,0.0002374622995459078,-0.660349808900691,2.8932667809355504e-05,0.5980166557662574,0.660349808900691
Flower_rat,0510_r1_DVI_mean,33,-0.6303599369173911,8.432889676574683e-05,-0.6566560138852282,3.321655085255906e-05,0.6303599369173911,0.6566560138852282
Flower_rat,diff_r1_ND_B3_B4_mean,33,0.5839050051067242,0.00036063453713810166,0.651115321362034,4.0719566642264016e-05,0.5839050051067242,0.651115321362034
Flower_rat,diff_r1_RENDVI1_mean,33,-0.5839050051067242,0.00036063453713810166,-0.651115321362034,4.0719566642264016e-05,0.5839050051067242,0.651115321362034
Flower_rat,ratio_r0p5_B6_p25,33,-0.5664860990998212,0.000588754072525811,-0.651115321362034,4.0719566642264016e-05,0.5664860990998212,0.651115321362034
Flower_rat,rel_r0p5_B6_p25,33,-0.5664860990998212,0.000588754072525811,-0.651115321362034,4.0719566642264016e-05,0.5664860990998212,0.651115321362034
Flower_rat,ratio_r1_SAVI_mean,33,-0.5830523983314656,0.00036962935303009816,-0.6432240320108179,5.404605228195451e-05,0.5830523983314656,0.6432240320108179
Flower_rat,rel_r1_SAVI_mean,33,-0.5830523983314656,0.00036962935303009816,-0.6432240320108179,5.404605228195451e-05,0.5830523983314656,0.6432240320108179
Flower_rat,rel_r1_NDVI_mean,33,-0.583046899128553,0.00036968800905696326,-0.6432240320108179,5.404605228195451e-05,0.583046899128553,0.6432240320108179
Flower_rat,ratio_r1_NDVI_mean,33,-0.5830468991285529,0.00036968800905696326,-0.6432240320108179,5.404605228195451e-05,0.5830468991285529,0.6432240320108179
Flower_rat,0510_r0p5_ND_B2_B3_mean,33,-0.6228422655445562,0.00010837749519882493,-0.6430561322373878,5.43679137145416e-05,0.6228422655445562,0.6430561322373878
Flower_rat,0510_r1_B6_mean,33,-0.5871366822043311,0.0003282797415266844,-0.6413771345030865,5.7682642869039795e-05,0.5871366822043311,0.6413771345030865
