target,scale,feature,feature_type,date_type,statistic,n,pearson_r,pearson_p,spearman_r,spearman_p,fdr_q_within_scale,fdr_q_global,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,max_stat_permutation_p,stability_status
Flower_rat,point,diff_rpt_DVI_median,predefined_index,diff,median,33,-0.4459191446752701,0.009297404466555631,-0.5273731883440301,0.001612259639217593,0.016810024836110226,0.009163277638714667,-0.7034474230884256,-0.25265032716327246,0.0565,0.1305,0.203,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,diff_rpt_DVI_mean,predefined_index,diff,mean,33,-0.4459191446752701,0.009297404466555631,-0.5273731883440301,0.001612259639217593,0.016810024836110226,0.009163277638714667,-0.7034474230884256,-0.25265032716327246,0.027,0.1215,0.2035,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_GNDVI_median,predefined_index,0510,median,33,-0.46115944918875174,0.0069105595115003,-0.524686791969148,0.001720251266369822,0.016810024836110226,0.009413457076381488,-0.7825314495717339,-0.1625814576391388,0.011,0.0415,0.088,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_ND_B2_B6_mean,pairwise_nd,0510,mean,33,0.46115944918875174,0.0069105595115003,0.524686791969148,0.001720251266369822,0.016810024836110226,0.009413457076381488,0.16258145763913828,0.7825314495717339,0.0055,0.0415,0.088,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_ND_B2_B6_median,pairwise_nd,0510,median,33,0.46115944918875174,0.0069105595115003,0.524686791969148,0.001720251266369822,0.016810024836110226,0.009413457076381488,0.16258145763913828,0.7825314495717339,0.0,0.0335,0.077,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_GNDVI_mean,predefined_index,0510,mean,33,-0.46115944918875174,0.0069105595115003,-0.524686791969148,0.001720251266369822,0.016810024836110226,0.009413457076381488,-0.7825314495717339,-0.1625814576391388,0.0005,0.0355,0.078,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,rel_rpt_DVI_mean,predefined_index,rel,mean,33,-0.44394607344746634,0.00965228262887465,-0.5162918032976417,0.002099506413974465,0.016810024836110226,0.009843414493659176,-0.7197764783068499,-0.2255999380412226,0.0055,0.064,0.109,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,ratio_rpt_DVI_mean,predefined_index,ratio,mean,33,-0.44394607344746606,0.00965228262887469,-0.5162918032976417,0.002099506413974465,0.016810024836110226,0.009843414493659176,-0.7197764783068499,-0.2255999380412226,0.005,0.0635,0.1125,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,rel_rpt_DVI_median,predefined_index,rel,median,33,-0.44394607344746634,0.00965228262887465,-0.5162918032976417,0.002099506413974465,0.016810024836110226,0.009843414493659176,-0.7197764783068499,-0.2255999380412226,0.0045,0.0485,0.109,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,ratio_rpt_DVI_median,predefined_index,ratio,median,33,-0.44394607344746606,0.00965228262887469,-0.5162918032976417,0.002099506413974465,0.016810024836110226,0.009843414493659176,-0.7197764783068499,-0.2255999380412226,0.006,0.0405,0.112,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_SAVI_mean,predefined_index,0510,mean,33,-0.45126255738800203,0.008391395669660073,-0.5144449057899103,0.0021920972596485,0.016810024836110226,0.009952441573002678,-0.7728516042804331,-0.16231194642945493,0.0005,0.0045,0.0275,0.014985014985014986,unstable_or_not_bootstrapped
